Character,File Numbers
切,"{5, 12, 15, 17, 18, 27, 30, 31, 32, 33, 41, 43, 48, 57, 65, 68, 69, 70, 74, 76, 89, 90, 91, 92}"
着,"{5, 6, 10, 19, 20, 44, 50, 54, 62, 65, 68, 83, 86, 91}"
返,"{5, 7, 11, 15, 26, 40, 47, 56, 57, 90, 91}"
揺,"{5, 19, 27, 34, 35, 51, 75}"
秒,{5}
声,"{5, 6, 8, 9, 11, 22, 25, 34, 35, 36, 38, 43, 44, 50, 61, 63, 83, 92}"
聞,"{5, 6, 25, 38, 45, 47, 49, 56, 67, 76, 83, 84, 92}"
青,"{5, 81}"
鈴,"{5, 41, 53, 60, 77}"
花,"{5, 17, 18, 33, 34, 35, 37, 39, 40, 43, 51, 53, 54, 58, 59, 64, 74, 76, 80, 88}"
響,"{5, 10, 34, 35, 53, 62, 68, 84}"
渡,"{5, 8, 50}"
届,"{5, 6, 10, 13, 16, 31, 33, 39, 42, 44, 45, 50, 51, 53, 58, 62, 63, 68, 70, 81, 84}"
口,"{5, 6, 14, 25, 47, 56, 61, 76, 91}"
考,"{5, 6, 19, 31, 56, 65, 70, 73, 78, 85}"
緑,"{5, 57, 90}"
帳,"{5, 35}"
隠,"{5, 12, 25, 33, 35, 61, 68, 85, 89, 91}"
染,"{5, 21, 35, 51, 59, 63, 69, 72}"
傍,"{5, 12}"
駆,"{5, 9, 27, 37, 38, 65, 77, 78, 81}"
実,"{5, 6, 15, 19, 25, 26, 34, 35, 49, 65, 69, 74, 79, 80, 83, 89}"
弾,"{5, 35, 68, 86}"
淵,{6}
以,"{6, 13, 15, 28, 65, 89}"
外,"{6, 7, 12, 15, 19, 28, 35, 43, 44, 46, 50, 73, 92}"
綺,"{6, 30, 39, 58, 64, 88, 91}"
麗,"{6, 25, 30, 33, 39, 58, 64, 88, 91}"
癖,"{6, 15}"
得,"{6, 17, 26, 67}"
番,"{6, 11, 26, 33, 39, 42, 58, 64, 86}"
生,"{6, 8, 12, 17, 19, 22, 26, 30, 32, 33, 38, 39, 42, 43, 57, 58, 59, 60, 61, 65, 68, 74, 75, 83, 87, 88, 90, 92}"
懸,{6}
部,"{6, 9, 11, 19, 21, 22, 26, 31, 32, 50, 70, 73, 77, 87, 88, 91}"
無,"{6, 8, 9, 14, 15, 19, 25, 26, 27, 33, 36, 37, 47, 49, 59, 68, 69, 92}"
駄,"{6, 8, 33}"
嫌,"{6, 7, 9, 17, 26, 28, 87, 91}"
逃,"{6, 7, 11, 17, 39, 40, 56, 58, 64, 91}"
